stage,decision,aircraft_time_minutes,passenger_time_minutes,flights,fuel_kg,seat_utilization,best,median,worst,runtime_budget,evaluator_calls,validator,notes
Separate baseline,CONTROL,44184,260521,258,353993.8,0.34660816238000614,44184,44184,44184,historical artifact,,PASS,Independent outbound inbound shuttle solution from origin/platinumist_update
"19,736 RMP",CONTROL,19736,270734,107,152910.4,0.8182982554006456,19736,19736,19736,artifact replay,,PASS,Canonical restricted-master control
Exact LNS,ADOPT,19482,268942,106,151620.3,0.8304081751956572,19482,19495,19620,12 repairs x 8s,,PASS,Route ejection plus exact local MILP
Geometry long-column LNS,ADOPT,19143,269218,103,148161.8,0.8449948404724206,19143,19267,19360,12 repairs x 8s,,PASS,Bounded geometry-ranked 3-5 stop candidates
"18,906 Standard ALNS",CONTROL,18906,266308,103,146442.5,0.853703500006346,18906,18991,19031,16 repairs x 8s,,PASS,Starting control for this phase
Adaptive destroy size,REJECT,18852,264881,103,146041.1,0.8556882167764278,18852,18866,18877,90s,,PASS,Adaptive 2/3/4 route rule lost to fixed size 3 and fixed size 4
Larger Neighborhood,ADOPT,18607,266832,101,144936.2,0.8706393891127749,18607,18696,18851,90s,530,PASS,Fixed four-route exact neighborhood with targeted four-stop quota
Ejection Chain,REJECT,18649,265972,101,144021.1,0.867053272922072,18649,18802,18880,90s,634,PASS,Mechanism deleted routes but best and median lost to ordinary four-route control
Elite Recombination,ADOPT,18547,265618,101,144791.7,0.8744508206502284,18547,18576,18583,8 exact attempts,,PASS,Elite-difference destroy with exact recombination
SA,ADOPT,18579,265456,101,143661.1,0.8726271477830962,18579,18596,18767,90s,1061,PASS,Accepted equal-primary structural moves and improved best and median
Geometry Repair after elite,CONTROL,18285,267748,99,142928.5,0.8885123523152424,18285,18427,18487,75s,622,PASS,Context-ranking A/B control
Context Repair,OPTIONAL,18269,266883,98,140761.1,0.8835067339901423,18269,18483,18485,75s,828,PASS,Better single best but worse median than geometry
ML,NOT_RUN,,,,,,,,,not ready,,N/A,Only three context-feature runs and 45 useful positive samples
Bandit UCB1,REJECT,18197,265105,98,140481.5,0.8824410427691602,18197,18245,18269,60s,1122,PASS,Lost to adaptive roulette best median and worst
Best classical combined,ADOPT,18180,264661,98,140311.8,0.8816806261156117,18180,18185,18199,60s,816,PASS,Fixed four-route geometry SA adaptive roulette from context-diversified incumbent
Final Winner,WINNER,17958,263588,97,138075.2,0.8974631474136977,17958,18043,18102,90s,1717,PASS,Five-seed final benchmark winner after elite recombination
